id,headword,variants,latin,latin_variants,meaning_ta,meaning_en,examples,word_type,category_id,notes,source_id,image
3225,தொட்டுச்கை,,toṭṭuckai,,இடைவிடாமல் எசதையாவது செய்து கொண்டே இருப்பவர்.,,தநொட்டுக்கையெ வெச்சிகிட்டு சும்மாவே ருக்க மாட்டான்.,,,,np,
3226,தொட்டெகொக்கி,,toṭṭekokki,,தொட்டில் கட்ட பயன்படும் இரும்பு கொக்கி.,,தொட்டே கொக்கிலெ தொட்டலெ போடு.,,,,np,
3227,தொட்டெசீலெ,,toṭṭecīle,,தொட்டில் கட்டும் சேலை.,,தொட்டே சீலைய எடுத்தா குழந்திக்கி தொட்டே கட்டலா.,,,,np,
3228,தொடக்கறி,,toṭakkaṟi,,இறைச்சி.,,தொடக் கொழம்பு வெச்சுக்கலாம்.,பெயர்ச்சொல்,,,pm,
3229,தொடம்,,toṭam,,எண்ணெய் போன்றவற்றை எடுக்கப் பயன்படும் நீண்ட கம்பியுடன் கூடிய கிண்ணம்.,,தொடத்த எடுத்து எண்ணெ மொள்ளு.,பெயர்ச்சொல்,,,pm,
3230,தொடற விளையாட்டு,,toṭaṟa viḷaiyāṭṭu,,சிறுவர் ஓடித் தொட்டு விளையாடும் விளையாட்டு.,,தொடற விளையாட்டுப் போடலாமா.,பெயர்ச்சொல்,,,pm,
3231,தொடி,,toṭi,,சாலையில் இருக்கும் குழி.,,ரோட்டுல ஒரே தொடியா இருக்குது எப்பிடி வண்டி போறது,,,,np,
3232,தொடு,,toṭu,,செருப்பைக் காலில் அணிதல்.,,செருப்பத் தொட்டுக்கிட்டு வா.,வினைச்சொல்,,,pm,
3233,தொடுஞ்சு,,toṭuñcu,,சிரமத்திற்கு ஆளாதல்.,,நானே நொடுிஞ்சுபோயி உக்காற்து ருக்க,,,,np,
3234,தொடுப்பு,,toṭuppu,,கள்ள உறவு. | முறையற்றுப் பெண்ணும் கொள்ளும் உறவு.,,அவகிட்ட உனக்கென்ன தொடுப்பு. | அவுங்களுக்குள்ள ஏதோ தொடுப்பு இருக்குது.,பெயர்ச்சொல்,,,np | pm,
3235,தொண்டி,,toṇṭi,,காண்க : தொட்டி உருளை.,,,,,,pm,
